id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2090,JIWA/KM2,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1038,JIWA/KM2,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,732,JIWA/KM2,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,895,JIWA/KM2,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,813,JIWA/KM2,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1073,JIWA/KM2,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1247,JIWA/KM2,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,2030,JIWA/KM2,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1220,JIWA/KM2,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,399,JIWA/KM2,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,8304,JIWA/KM2,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,6668,JIWA/KM2,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,14186,JIWA/KM2,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,8534,JIWA/KM2,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,11541,JIWA/KM2,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,8186,JIWA/KM2,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,13254,JIWA/KM2,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3991,JIWA/KM2,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,1732,JIWA/KM2,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1546,JIWA/KM2,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,607,JIWA/KM2,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,581,JIWA/KM2,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1987,JIWA/KM2,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,717,JIWA/KM2,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,669,JIWA/KM2,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,866,JIWA/KM2,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1013,JIWA/KM2,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2105,JIWA/KM2,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1047,JIWA/KM2,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,746,JIWA/KM2,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,902,JIWA/KM2,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,817,JIWA/KM2,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1097,JIWA/KM2,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1256,JIWA/KM2,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,2049,JIWA/KM2,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1226,JIWA/KM2,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,402,JIWA/KM2,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,8385,JIWA/KM2,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6902,JIWA/KM2,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,14298,JIWA/KM2,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,8694,JIWA/KM2,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,11628,JIWA/KM2,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,9005,JIWA/KM2,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,13532,JIWA/KM2,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4024,JIWA/KM2,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,1784,JIWA/KM2,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1608,JIWA/KM2,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,612,JIWA/KM2,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,586,JIWA/KM2,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1994,JIWA/KM2,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,723,JIWA/KM2,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,679,JIWA/KM2,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,869,JIWA/KM2,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1024,JIWA/KM2,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2133,JIWA/KM2,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1054,JIWA/KM2,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,751,JIWA/KM2,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,907,JIWA/KM2,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,821,JIWA/KM2,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1112,JIWA/KM2,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1290,JIWA/KM2,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2132,JIWA/KM2,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1255,JIWA/KM2,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,405,JIWA/KM2,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,8528,JIWA/KM2,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,6961,JIWA/KM2,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,14388,JIWA/KM2,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,8786,JIWA/KM2,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,11689,JIWA/KM2,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,9047,JIWA/KM2,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,13641,JIWA/KM2,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4048,JIWA/KM2,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,1774,JIWA/KM2,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1692,JIWA/KM2,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,616,JIWA/KM2,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,589,JIWA/KM2,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2000,JIWA/KM2,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,727,JIWA/KM2,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,691,JIWA/KM2,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,877,JIWA/KM2,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1033,JIWA/KM2,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,2197,JIWA/KM2,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1062,JIWA/KM2,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,756,JIWA/KM2,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,909,JIWA/KM2,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,825,JIWA/KM2,2018
